FIPS,State,County,Premature_Death_Total,Poor_or_Fair_Health,Adult_Smoking,Adult_Obesity,Uninsured,Primary_Care_Physician,Some_College,Unemployment,Children_in_Poverty,Air_Pollution_PM,Severe_Housing_Problems,Premature_Death_AIAN,Premature_Death_Asian,Premature_Death_Black,Premature_Death_Hispanic,Premature_Death_White,Premature_Death_NHOPI
1,AL,Washington County,12864.089912,0.251,0.212,0.415,0.0987920621,6.60197e-05,0.5196261682,0.0256830601,0.262,9.0,0.0817490494,19812.346127,Not Available,15580.422329,Not Available,11633.888699,Not Available
1,AL,Wilcox County,19438.678148,0.339,0.25,0.485,0.1213566508,9.57304e-05,0.3908629442,0.0799683294,0.485,8.5,0.1531034483,Not Available,Not Available,22377.962504,Not Available,14111.838644,Not Available
1,AL,Winston County,12030.860071,0.214,0.178,0.363,0.1168619792,0.0003805175,0.4082470197,0.0272876487,0.24,8.1,0.0970715835,Not Available,Not Available,Not Available,Not Available,12611.984531,Not Available
2,AK,Alaska,10028.003437,0.155,0.162,0.323,0.1330597255,0.0009676895,0.6464614629,0.0422549805,0.125,5.3,0.1976704022,23949.547294,4497.7465227,8895.2795965,5566.6641117,7388.1934306,19362.039992
2,AK,Aleutians East Borough,4200.3367471,0.198,0.172,0.309,0.1958456973,,0.4731285988,0.0210150674,0.186,,0.1584699454,32661.178173,Not Available,Not Available,Not Available,Not Available,Not Available
2,AK,Aleutians West Census Area,5785.3974442,0.174,0.163,0.289,0.1670011148,0.0005930026,0.5547722343,0.0301153954,0.048,,0.144278607,33069.551971,Not Available,Not Available,Not Available,Not Available,Not Available
2,AK,Anchorage Borough,9853.0638746,0.137,0.136,0.296,0.1211176078,0.0011627059,0.7009739169,0.0342719612,0.099,5.8,0.1655185341,29188.919252,4908.0826656,10316.195983,6488.0607637,7212.0121301,22886.969148
2,AK,Bethel Census Area,18066.471244,0.299,0.338,0.415,0.1416339356,0.0008622083,0.3253227408,0.0971377725,0.362,,0.5586283186,19960.207303,Not Available,Not Available,Not Available,Not Available,Not Available
2,AK,Bristol Bay Borough,16587.524231,0.165,0.18,0.32,0.1691678035,0.0,0.6556291391,0.0368763557,0.18,,0.1111111111,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2,AK,Chugach Census Area,,0.136,0.149,0.304,0.1753246753,0.0015847861,0.7548169557,0.0471098266,0.079,,0.0926640927,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2,AK,Copper River Census Area,,0.166,0.175,0.326,0.142787761,0.0003802281,0.6853707415,0.0761973875,0.201,,0.2116402116,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2,AK,Denali Borough,,0.138,0.151,0.308,0.1260806916,0.0006277464,0.412371134,0.0595581172,0.113,,0.2735849057,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2,AK,Dillingham Census Area,20903.735026,0.256,0.274,0.372,0.1696480092,0.0025146689,0.4685714286,0.0636205899,0.313,,0.4197080292,26798.666697,Not Available,Not Available,Not Available,Not Available,Not Available
2,AK,Fairbanks North Star Borough,8712.742308,0.138,0.139,0.321,0.1109260287,0.0008578034,0.7161736097,0.0380447922,0.079,11.9,0.1932011331,24543.201828,6110.9032974,6196.086214,4431.9155565,7532.8280802,Not Available
2,AK,Haines Borough,10534.529197,0.141,0.157,0.326,0.1119016818,0.0028971511,0.8178807947,0.0657065707,0.131,,0.3419354839,Not Available,Not Available,Not Available,Not Available,12481.100188,Not Available
2,AK,Hoonah-Angoon Census Area,9451.7912651,0.194,0.206,0.317,0.1692789969,,0.5068181818,0.0558572537,0.272,,0.1666666667,21587.664065,Not Available,Not Available,Not Available,Not Available,Not Available
2,AK,Juneau Borough,7261.629556,0.127,0.148,0.328,0.1224768554,0.001282332,0.7100862712,0.0299353214,0.095,4.8,0.1377708978,17195.354594,Not Available,Not Available,Not Available,5101.9220911,Not Available
2,AK,Kenai Peninsula Borough,8874.4859998,0.156,0.163,0.32,0.1452395008,0.0008031188,0.6040308239,0.0471778488,0.121,,0.1809398331,15588.353228,Not Available,Not Available,Not Available,8012.6044649,Not Available
2,AK,Ketchikan Gateway Borough,9819.4276417,0.147,0.153,0.343,0.1552901024,0.0012360041,0.6552166111,0.036757228,0.117,,0.1759343665,24424.634996,Not Available,Not Available,Not Available,8783.164299,Not Available
2,AK,Kodiak Island Borough,8975.6460306,0.16,0.168,0.303,0.1783650658,0.0014076797,0.6924216243,0.0441176471,0.088,,0.2378255946,30821.690681,5792.0081728,Not Available,Not Available,5796.258666,Not Available
2,AK,Kusilvak Census Area,24556.33926,0.368,0.383,0.46,0.1389707156,,0.2296296296,0.1505657093,0.365,,0.6115702479,25836.44127,Not Available,Not Available,Not Available,Not Available,Not Available
2,AK,Lake and Peninsula Borough,20072.785321,0.221,0.235,0.382,0.1922348485,0.0,0.432642487,0.0588235294,0.273,,0.28125,34279.650864,Not Available,Not Available,Not Available,Not Available,Not Available
2,AK,Matanuska-Susitna Borough,8750.0795302,0.186,0.195,0.314,0.1466952195,0.0004878666,0.580008979,0.0482599075,0.105,4.7,0.1990540008,18577.977172,Not Available,10957.328478,4176.7202039,8298.4442881,Not Available
2,AK,Nome Census Area,18090.491543,0.288,0.329,0.372,0.1453762844,0.0013177902,0.4027673897,0.0768090887,0.23,,0.5193370166,21626.861369,Not Available,Not Available,Not Available,Not Available,Not Available
2,AK,North Slope Borough,9617.4349943,0.194,0.223,0.407,0.1469318182,0.0003645643,0.5457917261,0.0492819843,0.142,,0.4156769596,18499.939881,Not Available,Not Available,Not Available,Not Available,Not Available
2,AK,Northwest Arctic Borough,19917.503044,0.267,0.292,0.38,0.1660181582,0.0007936508,0.3605,0.0963253657,0.23,,0.5014245014,23340.056595,Not Available,Not Available,Not Available,Not Available,Not Available
2,AK,Petersburg Census Area,7076.5773882,0.152,0.163,0.304,0.184366364,0.0014898689,0.6374663073,0.0507868383,0.11,,0.1570247934,Not Available,Not Available,Not Available,Not Available,4787.1798795,Not Available
2,AK,Prince of Wales-Hyder Census Area,14378.467379,0.202,0.221,0.376,0.1913445174,0.0017455053,0.5259087394,0.0674157303,0.221,,0.2012987013,18402.284431,Not Available,Not Available,Not Available,12626.085307,Not Available
2,AK,Sitka Borough,7686.8488695,0.149,0.158,0.323,0.1495450543,0.0021410729,0.7458949097,0.029652578,0.106,,0.1468023256,23246.166315,Not Available,Not Available,Not Available,4667.5304751,Not Available
2,AK,Skagway Municipality,,0.156,0.175,0.33,0.1586757991,0.0,0.4988066826,0.0582147477,0.089,,0.0897435897,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2,AK,Southeast Fairbanks Census Area,9720.3749391,0.183,0.199,0.373,0.1609372328,0.0005738881,0.5581395349,0.0521047984,0.14,,0.2329411765,27225.223736,Not Available,Not Available,Not Available,7187.6667031,Not Available
2,AK,Wrangell City,10946.485665,0.172,0.193,0.344,0.2105619499,0.001459854,0.5995807128,0.0485961123,0.151,,0.0892857143,Not Available,Not Available,Not Available,Not Available,14087.940776,Not Available
2,AK,Yakutat Borough,,0.199,0.206,0.326,0.1930783242,0.0,0.6495726496,0.0603174603,0.26,,0.1627906977,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
2,AK,Yukon-Koyukuk Census Area,22703.597242,0.27,0.294,0.395,0.1913116124,0.0001895735,0.4868322047,0.0903010033,0.248,,0.5078947368,30236.021181,Not Available,Not Available,Not Available,5431.4463016,Not Available
4,AZ,Arizona,9457.2593479,0.185,0.131,0.335,0.1272086616,0.0006644846,0.6619587894,0.0391400858,0.158,6.0,0.1709896015,25539.745072,3508.4889922,13591.73561,8784.7917818,8344.7326684,14978.8868
4,AZ,Apache County,27851.413774,0.325,0.271,0.391,0.1302971035,0.0004114411,0.5635800557,0.0788163868,0.357,3.3,0.2787348933,32181.951552,Not Available,Not Available,12703.996902,15764.509075,Not Available
4,AZ,Cochise County,9423.8489242,0.194,0.153,0.329,0.1118610324,0.0005791353,0.6228655775,0.0453362912,0.196,6.5,0.1194151097,Not Available,Not Available,9759.3709537,8803.0912569,9683.7482288,Not Available
4,AZ,Coconino County,11546.476059,0.175,0.138,0.27,0.1381327883,0.0008203954,0.7330045503,0.0419991488,0.209,5.3,0.2426765945,24587.789064,Not Available,Not Available,8428.6894801,6006.3367132,Not Available
4,AZ,Gila County,19407.343282,0.223,0.185,0.344,0.1518558889,0.0004478531,0.4882884634,0.0430466783,0.28,6.0,0.1761936785,41928.426905,Not Available,Not Available,9757.9993054,16613.869185,Not Available
4,AZ,Graham County,11352.564126,0.217,0.157,0.404,0.1131238202,0.0004097311,0.4860770975,0.0368326335,0.204,5.4,0.16587473,25053.035222,Not Available,Not Available,10742.80311,8560.1607235,Not Available
4,AZ,Greenlee County,11216.589614,0.196,0.134,0.325,0.0930557319,0.0006380264,0.6070202213,0.0285895807,0.096,5.4,0.067381317,Not Available,Not Available,Not Available,9417.00125,13236.006689,Not Available
4,AZ,La Paz County,23645.177931,0.252,0.186,0.359,0.1693875315,0.0003656753,0.4387096774,0.0476190476,0.293,4.2,0.1912442396,34678.566172,Not Available,Not Available,13945.158451,29299.45665,Not Available
4,AZ,Maricopa County,8525.3191969,0.171,0.118,0.327,0.1247096348,0.0006991968,0.6845629216,0.0342015741,0.139,12.6,0.1707594277,18198.340848,3560.9057298,13996.412696,8765.9921857,7524.505305,16556.174852
4,AZ,Mohave County,13412.686082,0.212,0.176,0.366,0.1410078056,0.0005328629,0.5308254717,0.0450922493,0.227,6.1,0.1494955999,24367.051719,6986.1446869,14196.599741,9781.3631658,13891.841018,Not Available
4,AZ,Navajo County,21728.239752,0.256,0.224,0.385,0.1540432197,0.0006287738,0.5111646586,0.0566569412,0.29,5.3,0.2293176535,32475.309141,Not Available,Not Available,13115.638689,11751.983275,Not Available
4,AZ,Pima County,9749.815683,0.192,0.14,0.328,0.1130348635,0.0008706976,0.6833127778,0.0382614254,0.179,6.2,0.1701857552,26157.910814,3283.7057074,14053.371661,8922.2250104,9213.0531893,17388.824193
4,AZ,Pinal County,9284.8309924,0.196,0.151,0.389,0.1321722264,0.000177953,0.5639645559,0.0411207724,0.124,16.1,0.1376112123,23407.387336,3432.4370859,11611.629278,8484.0460711,8287.1590883,Not Available
4,AZ,Santa Cruz County,6446.7835233,0.253,0.136,0.324,0.1999431392,0.0003759163,0.5977713875,0.0757701915,0.288,10.4,0.1695069994,Not Available,Not Available,Not Available,6569.4312679,7045.6549305,Not Available
4,AZ,Yavapai County,10159.849891,0.166,0.152,0.277,0.1614111536,0.0005531407,0.6136379212,0.0361016452,0.17,5.7,0.16765286,25217.603301,Not Available,9542.1953015,7536.7737664,10508.016184,Not Available
4,AZ,Yuma County,9875.9199698,0.247,0.144,0.423,0.1673820282,0.0004251413,0.5588768289,0.1320121302,0.23,9.1,0.2080726123,25945.085718,Not Available,11505.176711,8919.5565162,11523.63423,Not Available
5,AR,Arkansas,11384.029581,0.227,0.199,0.379,0.1001208573,0.000676495,0.5891537105,0.0325079265,0.202,8.3,0.132326537,4844.2917951,4509.7256181,16860.809929,5959.8799115,11054.320145,21758.911206
5,AR,Arkansas County,17354.839288,0.262,0.228,0.409,0.0822363327,0.0004784117,0.5213609619,0.0265934066,0.231,7.2,0.1061410159,Not Available,Not Available,21363.719479,Not Available,15812.00143,Not Available
5,AR,Ashley County,15009.040924,0.263,0.212,0.421,0.1015127951,0.0004284031,0.5066176471,0.0562790698,0.252,7.4,0.1256906077,Not Available,Not Available,21765.324577,Not Available,13892.750182,Not Available
5,AR,Baxter County,11056.830289,0.224,0.21,0.413,0.1081818492,0.0008542141,0.6004390779,0.0358205403,0.206,7.6,0.1088399257,Not Available,Not Available,Not Available,Not Available,11435.44404,Not Available
5,AR,Benton County,6948.4701487,0.169,0.138,0.342,0.1060021572,0.0005958623,0.6704617258,0.0244269193,0.09,9.3,0.1050341213,6176.0784916,2677.4316699,8504.7483754,4166.0252955,7787.9663663,28069.699729
5,AR,Boone County,10888.527445,0.213,0.2,0.394,0.0941842001,0.0006079831,0.592920354,0.0312973246,0.187,7.7,0.1036866359,Not Available,Not Available,Not Available,Not Available,11227.322588,Not Available
5,AR,Bradley County,14248.848305,0.283,0.223,0.415,0.1219176368,0.0005764796,0.4593186373,0.0463215259,0.287,8.1,0.1066126856,Not Available,Not Available,17151.661589,Not Available,12864.564969,Not Available
5,AR,Calhoun County,17436.885915,0.242,0.225,0.387,0.1026156942,0.000210926,0.4763741562,0.0293242669,0.178,8.2,0.0574324324,Not Available,Not Available,26276.072847,Not Available,16445.675194,Not Available
5,AR,Carroll County,10688.152755,0.225,0.181,0.356,0.1427392361,0.0006681906,0.413102675,0.0293519798,0.194,7.9,0.1472694718,Not Available,Not Available,Not Available,4790.8135334,11696.931014,Not Available
5,AR,Chicot County,16984.779644,0.31,0.234,0.446,0.1057126031,0.0005988622,0.5037071362,0.0575236759,0.372,8.6,0.1457036115,Not Available,Not Available,21290.401906,Not Available,12790.938759,Not Available
5,AR,Clark County,12303.773465,0.259,0.215,0.404,0.0897727273,0.0004690212,0.5424304141,0.0471820214,0.204,8.4,0.1427684668,Not Available,Not Available,16204.888657,Not Available,11441.004706,Not Available
5,AR,Clay County,10838.20941,0.254,0.236,0.381,0.0959713518,6.96864e-05,0.4943113772,0.0412562721,0.223,8.1,0.0983739837,Not Available,Not Available,Not Available,Not Available,11271.284993,Not Available
5,AR,Cleburne County,9759.3491599,0.228,0.212,0.366,0.0997057862,0.0006795922,0.4270080125,0.0393508226,0.206,8.1,0.0975152368,Not Available,Not Available,Not Available,Not Available,10254.700078,Not Available
